timestamp,machine_id,machine_type,temperature,pressure,vibration,rpm,anomaly,shift,operator_id,temp_pressure_ratio,vibration_rpm_ratio,hour_of_day,day_of_week
2024-01-01 00:00:00,M004,Assembly_Robot,32.78,22.32,122.23,2702.1,0,Night,OP05,1.4686379928315412,0.0452351874468006,0,Monday
2024-01-01 01:00:00,M004,Injection_Molder,65.09,33.72,43.4,1788.25,0,Night,OP03,1.930308422301305,0.0242695372570949,1,Monday
2024-01-01 02:00:00,M004,Laser_Cutter,52.28,18.22,60.4,4312.71,0,Night,OP04,2.8693743139407246,0.014005115113235,2,Monday
2024-01-01 03:00:00,M004,CNC_Lathe,38.92,30.24,88.9,3034.84,0,Night,OP03,1.2870370370370372,0.0292931423073374,3,Monday
2024-01-01 04:00:00,M001,Injection_Molder,68.29,31.34,45.63,1604.03,0,Night,OP05,2.179004467134652,0.0284470988697218,4,Monday
2024-01-01 05:00:00,M002,Assembly_Robot,35.44,22.88,111.93,2183.34,0,Night,OP05,1.548951048951049,0.0512654923191074,5,Monday
2024-01-01 06:00:00,M002,Laser_Cutter,55.48,18.84,61.19,3885.64,0,Day,OP01,2.9447983014862,0.0157477275300851,6,Monday
2024-01-01 07:00:00,M001,Assembly_Robot,33.65,22.61,128.25,2686.26,0,Day,OP05,1.4882795223352498,0.0477429586116012,7,Monday
2024-01-01 08:00:00,M002,Injection_Molder,58.97,38.3,44.47,1758.96,0,Day,OP03,1.5396866840731072,0.0252819848092054,8,Monday
2024-01-01 09:00:00,M003,Laser_Cutter,44.78,20.14,61.26,4435.26,0,Day,OP03,2.2234359483614696,0.0138120425860039,9,Monday
2024-01-01 10:00:00,M002,CNC_Lathe,45.26,27.4,85.46,2901.86,0,Day,OP05,1.6518248175182482,0.0294500768472634,10,Monday
2024-01-01 11:00:00,M003,Assembly_Robot,38.25,22.82,122.34,2679.33,0,Day,OP05,1.6761612620508326,0.0456606688985679,11,Monday
2024-01-01 12:00:00,M004,Injection_Molder,62.88,36.54,45.29,1896.86,0,Day,OP04,1.7208538587848934,0.0238763008340098,12,Monday
2024-01-01 13:00:00,M001,CNC_Lathe,47.55,25.38,80.65,3124.0,0,Day,OP05,1.8735224586288413,0.0258162612035851,13,Monday
2024-01-01 14:00:00,M003,CNC_Lathe,42.28,26.37,82.58,3114.53,0,Day,OP04,1.603337125521426,0.026514433959538,14,Monday
